,elec_tra,elec_tes,elec,HAZURE
0,,,71626,0
1,,,69778,0
2,,,63798,1
3,,,70949,0
4,,,76572,1
5,,,71918,0
6,,,76125,0
7,,,71008,0
8,,,63956,1
9,,,60860,1
10,,,71974,0
11,,,75294,0
12,74940.86,,74426,0
13,74129.914,,73648,0
14,73071.62,,71072,0
15,64478.23,,65128.996,1
16,67014.91,,62243.004,1
17,70976.34,,69346,0
18,70720.66,,69886,0
19,70061.266,,70374,0
20,71150.125,,72467,0
21,72051.56,,71650,0
22,66755.78,,65648,0
23,62985.777,,61722,1
24,69459.83,,69337,0
25,69843.06,,72682,0
26,72920.13,,72122,0
27,74080.21,,72332,0
28,71648.46,,63947.996,1
29,60562.867,,61786,1
30,63953.016,,58282.004,1
31,65064.992,,63474,0
32,66665.664,,58982.996,1
33,61983.26,,58690,1
34,62310.5,,58930,0
35,61020.68,,65718,0
36,65221.293,,65133,0
37,63893.934,,60611.996,0
38,63504.05,,69554,0
39,69916.336,,72401,1
40,74861.016,,73217,1
41,75452.37,,73195,1
42,77262.04,,73783,0
43,70581.44,,66058,0
44,61731.023,,61356,1
45,69472.83,,70647,0
46,73474.445,,73343,0
47,72317.94,,72231,0
48,74264.27,,71937,0
49,69789.28,,70976,0
50,64842.98,,65751,0
51,64080.945,,62838.996,1
52,72160.73,,74517,1
53,79369.13,,78288,1
54,78031.32,,76192,0
55,74711.07,,76618,0
56,76168.79,,73033,0
57,69471.29,,64455.996,1
58,65593.48,,60987.004,1
59,69724.69,,69516,0
60,72387.47,,71196,0
61,71154.46,,70825,0
62,70713.41,,70304,0
63,69823.91,,70214,0
64,65490.63,,65344,0
65,63799.89,,59785.004,1
66,68190.61,,69678,0
67,71298.18,,72071,0
68,71752.336,,73539,0
69,74164.125,,74555,0
70,73596.6,,75644,1
71,70940.69,,68034,0
72,64603.37,,64572,1
73,73471.22,,72350,0
74,75275.33,,73759,0
75,72933.17,,72861,0
76,73854.45,,74250,0
77,74876.39,,77900,1
78,73094.17,,72069,0
79,69101.28,,66144,1
80,74734.87,,79664,1
81,82089.97,,78933,1
82,79010.58,,77168,0
83,76214.336,,78029,0
84,81557.55,,76065,0
85,73165.52,,71671,0
86,69953.88,,67188,1
87,76496.35,,77476,0
88,77267.79,,74806,0
89,74098.93,,74863,0
90,76250.11,,75909,0
91,74453.92,,80622,1
92,77663.59,,76417,0
93,75603.89,,78475,0
94,84211.63,,89812,1
95,89667.1,,78213,0
96,72926.695,,78125,0
97,79592.3,,88051,1
98,91175.445,,82639,0
99,75544.87,,69921,1
100,72779.086,,71667,0
101,81158.58,,87564,1
102,84392.586,,88043,1
103,86818.59,,85886,0
104,89592.17,,88895,1
105,87338.42,,79415,0
106,71939.54,,70477,1
107,75928.54,,70417,1
108,79869.086,,81184,0
109,83792.08,,89968,1
110,90427.37,,86684,0
111,86891.234,,78846,0
112,75583.77,,75158,0
113,72207.59,,66837,1
114,69148.01,,65281,1
115,73408.03,,76865,0
116,83399.66,,77843,0
117,79062.74,,77976,0
118,74362.695,,83408,0
119,82861.63,,86012,1
120,79280.445,,79628,0
121,78548.68,,75648,0
122,82368.05,,87434,1
123,89685.38,,87793,1
124,86683.12,,88785,1
125,90431.25,,92312,1
126,93810.93,,94404,1
127,90711.016,,88254,0
128,84283.27,,81528,0
129,91410.34,,90967,0
130,94796.83,,99197,1
131,100457.78,,94296,0
132,93738.35,,79806,0
133,81461.54,,80439,0
134,80985.09,,72934,1
135,69473.01,,67836,1
136,75365.46,,73116,0
137,82571.52,,78216,0
138,81312.74,,86580,0
139,82130.57,,86061,0
140,85610.02,,86933,0
141,81627.625,,77807,0
142,75256.055,,77758,0
143,82279.33,,84069,0
144,84198.805,,87429,0
145,89263.87,,87015,0
146,87525.4,,91617,1
147,92792.266,,92323,1
148,87696.84,,74596,1
149,72724.195,,65597,1
150,73077.33,,81713,0
151,85944.52,,81689,0
152,83389.27,,81745,0
153,88255.05,,84812,0
154,87628.79,,86185,0
155,76247.55,,79681,0
156,75093.98,,74388,1
157,84751.836,,90002,1
158,91521.41,,93688,1
159,94550.89,,89980,0
160,89991.14,,87702,0
161,88391.16,,88021,0
162,85814.84,,78366,0
163,76091.99,,68188,1
164,77441.95,,78796,0
165,83515.984,,78794,0
166,77491.195,,77790,0
167,78801.7,,81374,0
168,82077.195,,78457,0
169,72400.66,,74716,0
170,72265.17,,68633,1
171,77300.48,,69972,1
172,73508.94,,74615,0
173,75587.75,,73270,0
174,76892.47,,70881,0
175,71780.22,,75288,0
176,74734.98,,69927,0
177,66121.36,,66522,1
178,69297.586,,80030,0
179,82665.5,,84095,1
180,82123,,85638,1
181,86798.95,,82223,0
182,80168.4,,73950,0
183,69365.4,,67459,1
184,66956.7,,65988,1
185,74445.1,,76847,0
186,78639.37,,80875,0
187,83945.9,,77983,0
188,75540.01,,81325,0
189,76994.24,,73437,0
190,68140.63,,68137,1
191,70707.68,,64376,1
192,75199.266,,63490,1
193,68044.55,,69408,0
194,71316.555,,70439,0
195,73405.12,,71302,0
196,71024.79,,70422,0
197,69107.96,,65038.996,1
198,63773.137,,61006,1
199,64379.555,,71179,0
200,74432.2,,73620,0
201,72247.375,,73329,0
202,73627.97,,73871,0
203,73386.06,,70818,0
204,66949.06,,65635,0
205,62306.668,,60889,1
206,69966.27,,68712,0
207,70351.62,,72143,0
208,72504.71,,72058,0
209,73540.14,,71041,0
210,69581.7,,74009,0
211,68522.73,,66843,0
212,63186.39,,65008.004,0
213,70195.45,,71290,0
214,73695.62,,74153,0
215,73086.375,,77102,1
216,79575.48,,70147,0
217,71856.6,,72700,0
218,69735.62,,67616,0
219,66584.03,,62774,1
220,67611.914,,73988,0
221,76151.24,,77800,1
222,79411.625,,79242,1
223,78864.59,,82622,1
224,81257.375,,83972,1
225,79096.195,,70071,0
226,64208.477,,65059.996,1
227,77216.29,,75367,0
228,79388.38,,75170,0
229,77612.64,,77313,0
230,81604.3,,76267,0
231,75888.24,,77198,0
232,69122.15,,75416,0
233,72641.36,,66016,1
234,74754.28,,77526,0
235,78078.81,,75699,0
236,77585.26,,76488,0
237,77673.98,,94780,1
238,95415.71,,89697,1
239,82863.38,,79231,0
240,73259.336,,72161,0
241,81527.57,,80811,0
242,78667.13,,82841,0
243,82597.64,,84329,0
244,90387.18,,83027,0
245,82919.34,,79953,0
246,74240.21,,74197,0
247,70582.03,,68716,1
248,74108.67,,76076,0
249,80618.85,,79928,0
250,82927.97,,85672,1
251,87422.92,,84691,0
252,80425.78,,81940,0
253,77151.89,,77929,0
254,76156.516,,75842,0
255,78547.43,,87266,1
256,88727.88,,86333,0
257,87022.914,,87452,0
258,88127.97,,89345,1
259,88852.82,,92184,1
260,88733.52,,83602,0
261,78962.04,,75957,1
262,84024.39,,83277,0
263,86054.695,,84186,0
264,82537.71,,82357,0
265,86546.06,,81965,0
266,82626.68,,73428,1
267,71847.3,,75507,0
268,73602.97,,74369,1
269,82817.23,,86334,0
270,86194.89,,82737,0
271,83388.484,,81063,0
272,81169.93,,78190,0
273,75457.31,,71973,1
274,71259.586,,67855,1
275,71864.77,,62234.004,1
276,71224.94,,63592,1
277,66702.09,,65242.996,0
278,67946.45,,71644,0
279,75126.016,,81938,0
280,82605.195,,88836,1
281,87800.05,,85318,0
282,79875.89,,83725,0
283,84062.234,,81743,0
284,82393.21,,86621,0
285,82962.21,,88357,0
286,90747.15,,90131,1
287,94151.086,,90085,0
288,88937.61,,90338,0
289,85701.16,,88008,0
290,88004.336,,97278,1
291,97150.1,,94044,0
292,92258.97,,93059,0
293,92654.266,,93116,0
294,97199.22,,100374,1
295,95318.52,,86144,0
296,83063.43,,78853,1
297,86401.43,,94202,0
298,98129.36,,98512,1
299,93131.94,,97141,0
300,97907.16,,94748,0
301,95549.74,,90792,0
302,87467.766,,80079,1
303,75611.8,,74984,1
304,85304.51,,80987,0
305,83408.51,,88426,0
306,93467.055,,88985,0
307,86776.79,,92452,0
308,91289.54,,89458,0
309,82830.92,,80233,1
310,79437.19,,78212,1
311,85168.01,,85371,0
312,86425.99,,91063,0
313,92865.12,,90545,0
314,91124.1,,99064,1
315,98434.945,,94774,0
316,86257.305,,85296,0
317,84407.52,,80389,1
318,88755.54,,90150,0
319,87244.75,,91315,0
320,90522.66,,89563,0
321,93793.22,,87272,0
322,86755.06,,80947,1
323,74877.99,,78656,1
324,78719.56,,75104,1
325,82245,,82895,0
326,86292.96,,87893,0
327,90192.67,,89133,0
328,88989.09,,83349,0
